report_date,county,county_population,cumulative_cases,cumulative_tests_reportable,cumulative_deaths,cases_7days,tests_reportable_7days,positive_naat_7days,tests_naat_7days,naat_positivity_7days,cumulative_positive_naat,cumulative_tests_naat,positive_ag_7days,census_today,fullyvax_today,partialvax_today,nonvax_today,adddose_today,census_7days_ago,census_change,census_not_fully_vax,census_pct_not_fully_vax,case_rate_weekly,fips,data_updated
02/07/2023,Litchfield,185186,41444,786486,520,84,1015,96,991,0.0969,42525,701653,24,17,5,1,5,6,13,4,6,0.3529,45.3598,5,02/07/2023
02/07/2023,Middlesex,164245,38578,987107,537,61,1018,75,999,0.0751,42270,920098,19,16,12,0,2,2,15,1,2,0.125,37.1396,7,02/07/2023
02/07/2023,New Haven,864835,256015,4923086,3107,487,9449,666,9329,0.0714,280777,4449800,120,102,47,2,33,20,127,-25,35,0.3431,56.3113,9,02/07/2023
02/07/2023,New London,268554,73316,1458771,763,166,2485,183,2430,0.0753,79082,1330060,55,36,21,1,8,6,34,2,9,0.25,61.8125,11,02/07/2023
02/07/2023,not_available,,3231,104966,12,11,90,11,86,0.1279,3211,93351,4,,,,,,,,,,,,02/07/2023
02/07/2023,Tolland,149788,27697,547192,309,63,627,43,590,0.0729,28494,501165,37,5,5,0,0,0,0,5,0,0,42.0594,13,02/07/2023
02/07/2023,Windham,116419,31199,491589,346,45,960,71,956,0.0743,35649,448961,4,3,0,0,1,2,8,-5,1,0.3333,38.6535,15,02/07/2023
02/08/2023,Fairfield,957418,262906,4459691,2968,446,6225,581,6186,0.0939,289674,3927667,39,72,38,3,18,13,117,-45,21,0.2917,46.5836,1,02/08/2023
02/08/2023,Hartford,899499,235453,4329928,3448,416,6411,409,6210,0.0659,252775,3859151,201,115,71,4,31,9,119,-4,35,0.3043,46.248,3,02/08/2023
02/08/2023,Litchfield,185186,41467,786740,521,83,992,95,969,0.098,42549,701900,23,10,5,1,1,3,13,-3,2,0.2,44.8198,5,02/08/2023
02/08/2023,Middlesex,164245,38602,987398,540,68,1015,80,995,0.0804,42291,920379,20,15,11,0,2,2,13,2,2,0.1333,41.4016,7,02/08/2023
02/08/2023,New Haven,864835,256120,4924755,3122,484,8508,646,8381,0.0771,280926,4451440,127,98,47,3,31,17,114,-16,34,0.3469,55.9644,9,02/08/2023
02/08/2023,New London,268554,73376,1459589,765,189,2870,225,2827,0.0796,79155,1330864,43,31,15,1,9,6,39,-8,10,0.3226,70.3769,11,02/08/2023
02/08/2023,Tolland,149788,27710,547374,311,47,557,41,539,0.0761,28502,501344,18,4,4,0,0,0,0,4,0,0,31.3777,13,02/08/2023
02/08/2023,Windham,116419,31206,491452,349,40,636,63,634,0.0994,35661,448821,2,4,1,0,1,2,9,-5,1,0.25,34.3587,15,02/08/2023
02/08/2023,not_available,,3234,104972,13,11,88,10,84,0.119,3209,93368,4,,,,,,,,,,,,02/08/2023
02/09/2023,Fairfield,957418,262980,4460471,2969,404,6087,534,6048,0.0883,289766,3928435,39,68,35,1,17,15,109,-41,18,0.2647,42.1968,1,02/09/2023
02/09/2023,Hartford,899499,235542,4331119,3446,389,6055,374,5848,0.064,252847,3860277,207,115,62,5,34,14,123,-8,39,0.3391,43.2463,3,02/09/2023
02/09/2023,Litchfield,185186,41475,786775,521,73,941,76,917,0.0829,42559,701930,24,10,6,1,1,2,12,-2,2,0.2,39.4198,5,02/09/2023
02/09/2023,Middlesex,164245,38613,987441,540,67,980,82,961,0.0853,42314,920405,19,15,9,1,2,3,13,2,3,0.2,40.7927,7,02/09/2023
02/09/2023,New Haven,864835,256225,4926023,3122,449,7985,604,7871,0.0767,281052,4452675,114,98,50,2,32,14,111,-13,34,0.3469,51.9174,9,02/09/2023
02/09/2023,New London,268554,73398,1459715,765,184,2334,223,2291,0.0973,79191,1330977,43,29,14,1,10,4,40,-11,11,0.3793,68.5151,11,02/09/2023
02/09/2023,Tolland,149788,27720,547624,311,45,784,39,770,0.0506,28520,501591,14,2,2,0,0,0,0,2,0,0,30.0425,13,02/09/2023
02/09/2023,Windham,116419,31226,492559,349,47,669,67,667,0.1004,35690,449927,2,3,1,0,1,1,6,-3,1,0.3333,40.3714,15,02/09/2023
02/09/2023,not_available,,3243,104943,13,11,83,11,80,0.1375,3216,93335,3,,,,,,,,,,,,02/09/2023
02/10/2023,Fairfield,957418,263039,4461647,2969,395,6125,521,6089,0.0856,289870,3929605,36,70,34,2,20,14,100,-30,22,0.3143,41.2568,1,02/10/2023
02/10/2023,Hartford,899499,235642,4332711,3446,387,5442,363,5230,0.0694,252931,3861816,212,119,66,3,35,15,127,-8,38,0.3193,43.0239,3,02/10/2023
02/10/2023,Litchfield,185186,41491,787186,521,65,993,75,970,0.0773,42583,702332,23,13,8,0,3,2,13,0,3,0.2308,35.0998,5,02/10/2023
02/10/2023,Middlesex,164245,38625,987645,540,64,1017,75,999,0.0751,42323,920620,18,16,9,1,2,4,13,3,3,0.1875,38.9662,7,02/10/2023
02/10/2023,New Haven,864835,256304,4927355,3122,458,8043,613,7938,0.0772,281174,4453978,105,89,50,2,27,10,104,-15,29,0.3258,52.9581,9,02/10/2023
02/10/2023,New London,268554,73431,1460165,765,186,2365,226,2322,0.0973,79225,1331421,43,26,9,0,14,3,39,-13,14,0.5385,69.2598,11,02/10/2023
02/10/2023,Tolland,149788,27731,548283,311,41,1341,38,1330,0.0286,28528,502248,11,2,2,0,0,0,1,1,0,0,27.372,13,02/10/2023
02/10/2023,Windham,116419,31232,492502,349,46,697,62,696,0.0891,35697,449870,1,2,1,0,1,0,8,-6,1,0.5,39.5125,15,02/10/2023
02/10/2023,not_available,,3243,104942,13,10,77,10,76,0.1316,3213,93346,1,,,,,,,,,,,,02/10/2023
